rank,node,degree
1,1351129033,17177
2,1347686776,16377
3,1276716437,16206
4,1318146772,14224
5,1217341726,13328
6,1379442891,12788
7,1159768893,12158
8,1077006331,10911
9,1050051043,10082
10,1395630712,9236
11,1106101850,9143
12,1134127313,8995
13,1319486488,8799
14,1090585095,8712
15,1474344201,8706
16,1202347372,8643
17,1021332018,8639
18,1190105159,8605
19,1490439828,8540
20,1317617591,8494
21,1460720133,8373
22,1347059582,8255
23,1324402461,8075
24,1089365067,8074
25,1055577594,7682
26,1017264508,7593
27,1136107199,7556
28,1297914978,7545
29,1017026416,7349
30,1134403920,7274
31,1047534233,7241
32,1226057462,7210
33,1067944291,7133
34,1162995450,7070
35,1095022615,6915
36,1044392611,6895
37,1126957323,6804
38,1254272389,6751
39,1259722839,6746
40,1059593318,6703
41,1266472291,6698
42,1062840188,6588
43,1228824558,6581
44,1013409940,6502
45,1092420436,6415
46,1025637516,6381
47,1125353235,6312
48,1260790276,6280
49,1156271581,6213
50,1054518189,6158
51,1089434005,6138
52,1137296966,6138
53,1099259561,6112
54,1295807959,6093
55,1107099703,6035
56,1183867575,6034
57,1238958753,5975
58,1122857397,5951
59,1147019357,5901
60,1086398278,5883
61,1130856889,5879
62,1225545520,5869
63,1272496847,5809
64,1369861988,5781
65,1450663348,5770
66,1326214888,5765
67,1067389944,5753
68,1093865675,5752
69,1498592378,5733
70,1323086677,5718
71,1003686997,5706
72,1132539719,5687
73,1118997421,5683
74,1317631910,5624
75,1170809216,5618
76,1071503899,5599
77,1117059086,5594
78,1188146418,5592
79,1086836533,5545
80,1084682903,5541
81,1100469838,5535
82,1140360697,5523
83,1055684663,5506
84,1086777526,5487
85,1127906173,5468
86,1130157367,5451
87,1284748780,5442
88,1095161819,5424
89,1128137142,5397
90,1092892653,5309
91,1433337849,5308
92,1148014638,5305
93,1126843319,5268
94,1099505621,5262
95,1123630682,5244
96,1135213069,5238
97,1166997871,5208
98,1449321936,5192
99,1360965504,5190
100,1066336899,5175
101,1218008414,5167
102,1278847673,5163
103,1142336272,5122
104,1126693348,5115
105,1143076737,5108
106,1291574046,5094
107,1074319086,5082
108,1144537274,5079
109,1057168385,5069
110,1125959172,5061
111,1407272195,5051
112,1091245684,5034
113,1112757330,5033
114,1133148470,5016
115,1030112746,5003
116,1387543856,4998
117,1081747531,4995
118,1288952285,4976
119,1291361021,4946
120,1358364387,4946
121,1476244763,4936
122,1134950260,4931
123,1144648343,4925
124,1115726542,4904
125,1099202588,4897
126,1056173917,4891
127,1147159693,4881
128,1348305419,4873
129,1131383945,4869
130,1193127256,4866
131,1084250815,4864
132,1056928143,4863
133,1002769180,4856
134,1048201902,4843
135,1111704583,4837
136,1002533295,4835
137,1144176193,4818
138,1100502454,4812
139,1055033819,4810
140,1034003750,4791
141,1135092321,4790
142,1199066573,4772
143,1316182109,4769
144,1090179601,4765
145,1089872479,4761
146,1304103637,4748
147,1270214164,4735
148,1258332838,4731
149,1374976643,4731
150,1117930799,4716
151,1104118438,4710
152,1235266614,4709
153,1369411150,4705
154,1065863885,4697
155,1072535400,4664
156,1133336630,4643
157,1250121897,4642
158,1083496155,4636
159,1046216869,4634
160,1332744926,4634
161,1146764319,4605
162,1143642552,4604
163,1096326051,4592
164,1248723194,4590
165,1083159009,4576
166,1177981545,4573
167,1053003387,4571
168,1032528387,4561
169,1185458267,4561
170,1300425549,4561
171,1093239214,4550
172,1136729674,4541
173,1081060652,4530
174,1129707433,4513
175,1129295827,4512
176,1385413307,4510
177,1011085647,4505
178,1142469423,4493
179,1216941950,4492
180,1146875549,4488
181,1259357195,4481
182,1130836416,4471
183,1060670683,4463
184,1100493444,4462
185,1172012954,4457
186,1138356923,4392
187,1135352988,4379
188,1131126129,4376
189,1327073235,4370
190,1163401725,4369
191,1054437329,4359
192,1102483587,4359
193,1437677052,4357
194,1361138436,4355
195,1203277094,4349
196,1390829942,4328
197,1233211950,4320
198,1067232175,4319
199,1072991014,4315
200,1111872431,4314
201,1374965148,4311
202,1064576528,4300
203,1358221431,4300
204,1117717996,4297
205,1129672280,4294
206,1097683824,4274
207,1006338194,4273
208,1072044120,4267
209,1142059603,4266
210,1289543196,4262
211,1117274945,4249
212,1198885060,4232
213,1418539928,4226
214,1133634058,4225
215,1060895046,4218
216,1324956057,4216
217,1112869821,4192
218,1139000680,4186
219,1074082128,4181
220,1225475648,4147
221,1051463010,4136
222,1107848342,4132
223,1137310787,4126
224,1140719059,4110
225,1143854673,4102
226,1125197211,4101
227,1163580720,4095
228,1067707512,4086
229,1374914422,4086
230,1018795442,4072
231,1105394537,4067
232,1369740493,4067
233,1061134796,4065
234,1086667037,4059
235,1122165840,4059
236,1301001697,4056
237,1275095058,4051
238,1290486740,4027
239,1152889883,4020
240,1100873793,4019
241,1141523881,4019
242,1426566304,4000
243,1104916086,3968
244,1116752525,3962
245,1133280334,3952
246,1414356870,3943
247,1240435125,3940
248,1190134743,3933
249,1115105596,3921
250,1079157272,3913
251,1130208005,3912
252,1142686855,3912
253,1122538960,3909
254,1196010762,3898
255,1134872288,3897
256,1060682796,3880
257,1290095668,3874
258,1371073318,3870
259,1108134275,3847
260,1030508309,3845
261,1178551826,3845
262,1141952410,3842
263,1052597177,3836
264,1127650902,3831
265,1314109152,3831
266,1370839503,3826
267,1139682292,3821
268,1125739916,3814
269,1224126104,3799
270,1072043059,3785
271,1131085215,3782
272,1142937682,3777
273,1492259571,3774
274,1307155499,3769
275,1128016991,3764
276,1497957184,3758
277,1254611017,3757
278,1142945794,3755
279,1060154097,3754
280,1389760116,3752
281,1131953758,3748
282,1207920090,3746
283,1252329822,3741
284,1495344616,3736
285,1102621369,3735
286,1143324372,3729
287,1132489295,3722
288,1240481111,3709
289,1200315662,3694
290,1134944790,3680
291,1380761753,3680
292,1293734999,3674
293,1153801686,3673
294,1284751201,3670
295,1375982835,3656
296,1067685294,3655
297,1130103244,3635
298,1098883525,3634
299,1134024839,3629
300,1385855401,3625
301,1106196791,3618
302,1379501388,3617
303,1081914489,3616
304,1260296283,3606
305,1268804403,3606
306,1172232158,3605
307,1122627703,3601
308,1116431051,3594
309,1286765433,3591
310,1182883613,3590
311,1371157493,3589
312,1076146582,3586
313,1111353568,3581
314,1215454068,3581
315,1030721090,3573
316,1148985795,3567
317,1055856302,3566
318,1195442933,3556
319,1076260329,3549
320,1222749164,3548
321,1375626798,3535
322,1379442536,3530
323,1216797781,3526
324,1105605372,3524
325,1310336110,3518
326,1055976792,3512
327,1182008231,3512
328,1072206406,3500
329,1110247979,3496
330,1387278024,3489
331,1443085801,3477
332,1082890487,3473
333,1189318667,3470
334,1143731047,3468
335,1059873817,3464
336,1135090066,3464
337,1113189813,3460
338,1210878895,3458
339,1096787972,3456
340,1279466095,3450
341,1115782346,3446
342,1300493642,3446
343,1368482468,3441
344,1055875472,3440
345,1211179236,3436
346,1328850508,3435
347,1140511110,3434
348,1129940641,3425
349,1102485645,3420
350,1066588268,3411
351,1213048479,3408
352,1351618858,3408
353,1132836712,3402
354,1233537485,3401
355,1059498198,3400
356,1255777901,3397
357,1137311728,3396
358,1098306982,3392
359,1066893438,3390
360,1133954927,3377
361,1326820209,3376
362,1149082499,3371
363,1125166243,3368
364,1120529001,3367
365,1186906535,3367
366,1178221570,3364
367,1058492394,3362
368,1074003058,3360
