rank,source,target,weight
1,1331793335,1401977752,6568.0
2,1453068824,1496157748,4457.0
3,1366632532,1372598498,4306.0
4,1238179593,1318498635,4175.0
5,1318498635,1358214409,4099.0
6,1306474713,1335494070,4035.0
7,1143430195,1214686838,4012.0
8,1238179593,1358214409,3996.0
9,1446015393,1474879162,3987.0
10,1268722841,1358214409,3784.0
11,1307416876,1345300181,3594.0
12,1168920372,1275496039,3464.0
13,1280005976,1441099496,3433.0
14,1346859778,1455723818,3404.0
15,1308555684,1411555593,3257.0
16,1394418056,1472280801,3236.0
17,1322836822,1467303187,3195.0
18,1335494070,1486505944,3177.0
19,1318498635,1335494070,3146.0
20,1239967378,1322836822,3139.0
21,1222020224,1449467014,3132.0
22,1160980171,1358214409,3131.0
23,1318498635,1486505944,2987.0
24,1165190667,1455723818,2958.0
25,1202059340,1379460623,2934.0
26,1329190414,1421152883,2913.0
27,1308555684,1335494070,2902.0
28,1165190667,1449467014,2873.0
29,1247799377,1498225294,2856.0
30,1168920372,1310336110,2816.0
31,1275496039,1310336110,2816.0
32,1239967378,1467303187,2796.0
33,1160980171,1356689113,2772.0
34,1365370869,1408807671,2772.0
35,1306474713,1308555684,2753.0
36,1109341850,1126233201,2747.0
37,1165190667,1446015393,2745.0
38,1238179593,1268722841,2707.0
39,1160980171,1238179593,2694.0
40,1335494070,1411555593,2676.0
41,1306474713,1318498635,2660.0
42,1247799377,1356689113,2652.0
43,1446015393,1449467014,2648.0
44,1165190667,1346859778,2646.0
45,1400739409,1408807671,2568.0
46,1408807671,1474879162,2547.0
47,1160980171,1411555593,2537.0
48,1160980171,1318498635,2535.0
49,1308562174,1327391389,2504.0
50,1184074956,1269644877,2503.0
51,1408807671,1446015393,2488.0
52,1327487630,1398930775,2460.0
53,1306474713,1486505944,2446.0
54,1306474713,1411555593,2431.0
55,1238179593,1299409493,2431.0
56,1394418056,1397736360,2430.0
57,1199301455,1398930775,2427.0
58,1187433883,1291607687,2395.0
59,1204272053,1219541257,2375.0
60,1345215442,1427840273,2352.0
61,1444727359,1474752835,2338.0
62,1217558273,1474752835,2328.0
63,1175993960,1389513949,2318.0
64,1423064351,1455723818,2307.0
65,1126233201,1156572824,2306.0
66,1283305713,1400739409,2291.0
67,1168920372,1315706903,2288.0
68,1299409493,1408293935,2270.0
69,1233806061,1303911676,2241.0
70,1260703582,1310336110,2221.0
71,1160980171,1247799377,2193.0
72,1363266574,1496157748,2187.0
73,1198273471,1361831997,2181.0
74,1275496039,1439843996,2174.0
75,1202942359,1293960609,2149.0
76,1318498635,1411555593,2146.0
77,1017264508,1218008414,2140.0
78,1276716437,1318146772,2130.0
79,1299409493,1358214409,2130.0
80,1358214409,1498225294,2107.0
81,1160980171,1299409493,2102.0
82,1363266574,1453068824,2098.0
83,1159768893,1351129033,2090.0
84,1178808159,1235765787,2088.0
85,1260703582,1275496039,2083.0
86,1245511919,1474752835,2079.0
87,1262697160,1491284875,2077.0
88,1109341850,1156572824,2076.0
89,1202942359,1438450410,2069.0
90,1275496039,1315706903,2068.0
91,1356689113,1498225294,2068.0
92,1238179593,1427225152,2044.0
93,1318321886,1398930775,2043.0
94,1452153893,1456057692,2041.0
95,1358214409,1411555593,2041.0
96,1202059340,1398930775,2030.0
97,1132192146,1361084049,2018.0
98,1177133774,1423064351,2017.0
99,1168920372,1439843996,2014.0
100,1160980171,1298838711,2012.0
101,1408807671,1455723818,2002.0
102,1269644877,1308555684,1995.0
103,1129079888,1309310876,1995.0
104,1318321886,1327487630,1975.0
105,1176908416,1327391389,1973.0
106,1222020224,1455723818,1966.0
107,1438450410,1456251369,1965.0
108,1238179593,1298694152,1965.0
109,1020895303,1074600617,1957.0
110,1238958753,1307588702,1957.0
111,1268722841,1318498635,1956.0
112,1283305713,1408807671,1953.0
113,1177133774,1468429258,1949.0
114,1280744318,1421152883,1946.0
115,1217558273,1444727359,1938.0
116,1210696977,1217558273,1933.0
117,1210696977,1474752835,1930.0
118,1235765787,1421152883,1927.0
